Name: CCTV-14少儿, URL: http://123.113.237.79:8888/rtp/239.3.1.65:8132, Date: None, Resolution: None, Response Time: 587ms
Name: CCTV-14少儿, URL: http://222.240.82.92:9901/tsfile/live/0014_1.m3u8, Date: 03-20-2023, Resolution: None, Response Time: 600ms
Name: CCTV-14少儿, URL: http://111.197.224.161:4022/rtp/239.3.1.65:8132, Date: None, Resolution: None, Response Time: 1567ms
Name: CCTV-15音乐, URL: http://222.129.32.10:8888/rtp/239.3.1.153:8136, Date: None, Resolution: None, Response Time: 543ms
Name: CCTV-15音乐, URL: http://111.197.224.161:4022/rtp/239.3.1.153:8136, Date: None, Resolution: None, Response Time: 546ms
Name: CCTV-15音乐, URL: http://123.113.237.79:8888/rtp/239.3.1.153:8136, Date: None, Resolution: None, Response Time: 591ms
Name: CCTV-16奥林匹克频道, URL: http://111.197.224.161:4022/rtp/239.3.1.184:8001, Date: None, Resolution: None, Response Time: 546ms
Name: CCTV-16奥林匹克频道, URL: http://drive.mxmy.net:8888/rtp/239.3.1.184:8001, Date: None, Resolution: None, Response Time: 547ms
Name: CCTV-16奥林匹克频道, URL: http://123.113.237.79:8888/rtp/239.3.1.184:8001, Date: None, Resolution: None, Response Time: 584ms
Name: CCTV-17农业农村, URL: http://222.129.32.10:8888/rtp/239.3.1.151:8144, Date: None, Resolution: None, Response Time: 544ms
Name: CCTV-17农业农村, URL: http://111.197.224.161:4022/rtp/239.3.1.151:8144, Date: None, Resolution: None, Response Time: 547ms
Name: CCTV-17农业农村, URL: http://123.113.237.79:8888/rtp/239.3.1.151:8144, Date: None, Resolution: None, Response Time: 578ms
Name: 许三多, URL: https://goodiptv.club/douyu/11651155, Date: None, Resolution: None, Response Time: 2303ms
Name: 许三多, URL: https://goodiptv.club/douyu/10348728, Date: None, Resolution: None, Response Time: 4536ms
Name: 滇西小哥, URL: https://goodiptv.club/douyu/3243427, Date: None, Resolution: None, Response Time: 3964ms
Name: 老高与小茉, URL: https://goodiptv.club/douyu/236461, Date: None, Resolution: None, Response Time: 2713ms
Name: 铁齿铜牙纪晓岚, URL: http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1354143978, Date: 12-21-2023, Resolution: None, Response Time: 138ms
Name: 铁齿铜牙纪晓岚, URL: https://goodiptv.club/huya/11342396, Date: None, Resolution: None, Response Time: 2153ms
Name: 铁齿铜牙纪晓岚, URL: http://cfss.cc/cdn/hy/11342396.flv, Date: None, Resolution: None, Response Time: 2154ms
Name: 地下交通站, URL: http://cfss.cc/cdn/hy/11342433.flv, Date: 04-13-2024, Resolution: None, Response Time: 1658ms
Name: 地下交通站, URL: http://cfss.cc/cdn/hy/11342433.flv, Date: None, Resolution: None, Response Time: 1659ms
Name: 地下交通站, URL: https://goodiptv.club/huya/11342433, Date: None, Resolution: None, Response Time: 4724ms
Name: 李卫当官, URL: https://goodiptv.club/huya/26355788, Date: None, Resolution: None, Response Time: 1665ms
Name: 李卫当官, URL: http://cfss.cc/cdn/hy/26355788.flv, Date: None, Resolution: None, Response Time: 1982ms
Name: 爱情公寓, URL: https://goodiptv.club/huya/11336726, Date: None, Resolution: None, Response Time: 1818ms
Name: 爱情公寓, URL: http://cfss.cc/cdn/hy/11336726.flv, Date: None, Resolution: None, Response Time: 2067ms
Name: 搞笑一家人, URL: http://cfss.cc/cdn/hy/11342402.flv, Date: None, Resolution: None, Response Time: 1623ms
Name: 搞笑一家人, URL: https://goodiptv.club/huya/11342402, Date: None, Resolution: None, Response Time: 2090ms
Name: 康熙微服私访记, URL: http://cfss.cc/cdn/hy/11342418.flv, Date: None, Resolution: None, Response Time: 1613ms
Name: 康熙微服私访记, URL: https://goodiptv.club/huya/11342418, Date: None, Resolution: None, Response Time: 2551ms
Name: 家有儿女, URL: https://goodiptv.club/huya/29915635, Date: None, Resolution: None, Response Time: 2609ms
Name: 家有儿女, URL: http://cfss.cc/cdn/hy/29915635.flv, Date: None, Resolution: None, Response Time: 2610ms
Name: 神探狄仁杰, URL: http://cfss.cc/cdn/hy/11342425.flv, Date: None, Resolution: None, Response Time: 1526ms
